combo,size,matches,avg_points,avg_score_final
Rachid Ghezzal + Ruben Kluivert,2,4,2.25,67.95
Abner + Rachid Ghezzal,2,3,2.0,60.97
Ainsley Maitland-Niles + Rachid Ghezzal,2,6,1.67,56.52
Rachid Ghezzal + Tanner Tessmann,2,6,1.67,56.52
Rachid Ghezzal + Tyler Morton,2,6,1.67,56.37
Khalis Merah + Rachid Ghezzal,2,4,1.5,53.0
Adam Karabec + Rachid Ghezzal,2,6,1.5,50.9
Malick Fofana + Rachid Ghezzal,2,4,1.5,50.0
Malick Fofana + Martin Satriano,2,4,1.5,49.4
Moussa Niakhate + Ruben Kluivert,2,6,1.5,49.05
Dominik Greif + Ruben Kluivert,2,4,1.5,48.72
Ainsley Maitland-Niles + Ruben Kluivert,2,6,1.5,48.35
Ruben Kluivert + Tanner Tessmann,2,6,1.5,48.35
Malick Fofana + Ruben Kluivert,2,4,1.5,47.22
Clinton Mata + Rachid Ghezzal,2,7,1.43,50.8
Corentin Tolisso + Rachid Ghezzal,2,7,1.43,50.8
Moussa Niakhate + Rachid Ghezzal,2,7,1.43,50.8
Nicolás Tagliafico + Rachid Ghezzal,2,5,1.4,49.99
Adam Karabec + Ruben Kluivert,2,7,1.29,43.8
Clinton Mata + Ruben Kluivert,2,7,1.29,43.8
Corentin Tolisso + Ruben Kluivert,2,7,1.29,43.8
Ruben Kluivert + Tyler Morton,2,7,1.29,43.8
Dominik Greif + Nicolás Tagliafico,2,11,1.27,46.86
Dominik Greif + Tyler Morton,2,11,1.27,46.78
Clinton Mata + Hans Hateboer,2,4,1.25,50.56
Ainsley Maitland-Niles + Hans Hateboer,2,4,1.25,48.92
Hans Hateboer + Nicolás Tagliafico,2,4,1.25,48.92
Clinton Mata + Dominik Greif,2,12,1.25,47.47
Dominik Greif + Moussa Niakhate,2,12,1.25,47.27
Ainsley Maitland-Niles + Dominik Greif,2,12,1.25,46.92
Martin Satriano + Nicolás Tagliafico,2,9,1.22,45.06
Martin Satriano + Tyler Morton,2,9,1.22,44.96
Clinton Mata + Tyler Morton,2,14,1.21,45.31
Moussa Niakhate + Tyler Morton,2,14,1.21,45.14
Ainsley Maitland-Niles + Tyler Morton,2,14,1.21,44.84
Clinton Mata + Martin Satriano,2,10,1.2,45.97
Clinton Mata + Moussa Niakhate,2,15,1.2,45.8
Martin Satriano + Moussa Niakhate,2,10,1.2,45.73
