rank,team,matches,wins,draws,losses,goals_for,goals_against,goal_difference,points,points_per_match,win_rate,goals_for_per_match,goals_against_per_match,home_rank,home_matches,home_wins,home_draws,home_losses,home_goals_for,home_goals_against,home_goal_difference,home_points,home_points_per_match,home_win_rate,home_goals_for_per_match,home_goals_against_per_match,away_rank,away_matches,away_wins,away_draws,away_losses,away_goals_for,away_goals_against,away_goal_difference,away_points,away_points_per_match,away_win_rate,away_goals_for_per_match,away_goals_against_per_match
1,Lens,17,13,1,3,31.0,13.0,18.0,40,2.35,76.5,1.82,0.76,2,8,7,0,1,16.0,4.0,12.0,21,2.62,87.5,2.0,0.5,1.0,9.0,6.0,1.0,2.0,15.0,9.0,6.0,19.0,2.11,66.7,1.67,1.0
2,Paris Saint Germain,17,12,3,2,37.0,15.0,22.0,39,2.29,70.6,2.18,0.88,1,8,7,1,0,19.0,4.0,15.0,22,2.75,87.5,2.38,0.5,2.0,9.0,5.0,2.0,2.0,18.0,11.0,7.0,17.0,1.89,55.6,2.0,1.22
3,Marseille,17,10,2,5,36.0,17.0,19.0,32,1.88,58.8,2.12,1.0,3,9,6,2,1,24.0,10.0,14.0,20,2.22,66.7,2.67,1.11,5.0,8.0,4.0,0.0,4.0,12.0,7.0,5.0,12.0,1.5,50.0,1.5,0.88
4,Lille,17,10,2,5,33.0,22.0,11.0,32,1.88,58.8,1.94,1.29,4,9,6,1,2,16.0,8.0,8.0,19,2.11,66.7,1.78,0.89,3.0,8.0,4.0,1.0,3.0,17.0,14.0,3.0,13.0,1.62,50.0,2.12,1.75
5,Rennes,17,8,6,3,29.0,24.0,5.0,30,1.76,47.1,1.71,1.41,5,8,5,2,1,18.0,8.0,10.0,17,2.12,62.5,2.25,1.0,4.0,9.0,3.0,4.0,2.0,11.0,16.0,-5.0,13.0,1.44,33.3,1.22,1.78
6,Lyon,16,8,3,5,24.0,17.0,7.0,27,1.69,50.0,1.5,1.06,9,7,5,0,2,13.0,6.0,7.0,15,2.14,71.4,1.86,0.86,6.0,9.0,3.0,3.0,3.0,11.0,11.0,0.0,12.0,1.33,33.3,1.22,1.22
7,Strasbourg,17,7,3,7,26.0,21.0,5.0,24,1.41,41.2,1.53,1.24,6,8,5,1,2,14.0,4.0,10.0,16,2.0,62.5,1.75,0.5,9.0,9.0,2.0,2.0,5.0,12.0,17.0,-5.0,8.0,0.89,22.2,1.33,1.89
8,Toulouse,17,6,5,6,24.0,22.0,2.0,23,1.35,35.3,1.41,1.29,14,9,3,3,3,14.0,14.0,0.0,12,1.33,33.3,1.56,1.56,7.0,8.0,3.0,2.0,3.0,10.0,8.0,2.0,11.0,1.38,37.5,1.25,1.0
9,Monaco,17,7,2,8,27.0,30.0,-3.0,23,1.35,41.2,1.59,1.76,8,9,5,1,3,17.0,15.0,2.0,16,1.78,55.6,1.89,1.67,12.0,8.0,2.0,1.0,5.0,10.0,15.0,-5.0,7.0,0.88,25.0,1.25,1.88
10,Angers,17,6,4,7,18.0,20.0,-2.0,22,1.29,35.3,1.06,1.18,11,8,4,2,2,12.0,7.0,5.0,14,1.75,50.0,1.5,0.88,11.0,9.0,2.0,2.0,5.0,6.0,13.0,-7.0,8.0,0.89,22.2,0.67,1.44
11,Brest,17,6,4,7,23.0,27.0,-4.0,22,1.29,35.3,1.35,1.59,10,9,4,3,2,14.0,11.0,3.0,15,1.67,44.4,1.56,1.22,13.0,8.0,2.0,1.0,5.0,9.0,16.0,-7.0,7.0,0.88,25.0,1.12,2.0
12,Lorient,17,4,7,6,20.0,29.0,-9.0,19,1.12,23.5,1.18,1.71,7,9,4,4,1,18.0,15.0,3.0,16,1.78,44.4,2.0,1.67,17.0,8.0,0.0,3.0,5.0,2.0,14.0,-12.0,3.0,0.38,0.0,0.25,1.75
13,Le Havre,17,4,6,7,15.0,23.0,-8.0,18,1.06,23.5,0.88,1.35,13,9,3,4,2,11.0,9.0,2.0,13,1.44,33.3,1.22,1.0,14.0,8.0,1.0,2.0,5.0,4.0,14.0,-10.0,5.0,0.62,12.5,0.5,1.75
14,Nice,17,5,3,9,20.0,30.0,-10.0,18,1.06,29.4,1.18,1.76,12,9,4,2,3,12.0,12.0,0.0,14,1.56,44.4,1.33,1.33,15.0,8.0,1.0,1.0,6.0,8.0,18.0,-10.0,4.0,0.5,12.5,1.0,2.25
15,Paris FC,17,4,4,9,22.0,31.0,-9.0,16,0.94,23.5,1.29,1.82,16,8,2,2,4,12.0,15.0,-3.0,8,1.0,25.0,1.5,1.88,10.0,9.0,2.0,2.0,5.0,10.0,16.0,-6.0,8.0,0.89,22.2,1.11,1.78
16,Nantes,17,3,5,9,16.0,28.0,-12.0,14,0.82,17.6,0.94,1.65,18,8,1,2,5,8.0,15.0,-7.0,5,0.62,12.5,1.0,1.88,8.0,9.0,2.0,3.0,4.0,8.0,13.0,-5.0,9.0,1.0,22.2,0.89,1.44
17,Auxerre,17,3,3,11,14.0,27.0,-13.0,12,0.71,17.6,0.82,1.59,15,9,3,1,5,10.0,11.0,-1.0,10,1.11,33.3,1.11,1.22,18.0,8.0,0.0,2.0,6.0,4.0,16.0,-12.0,2.0,0.25,0.0,0.5,2.0
18,Metz,17,3,3,11,18.0,38.0,-20.0,12,0.71,17.6,1.06,2.24,17,8,2,2,4,7.0,10.0,-3.0,8,1.0,25.0,0.88,1.25,16.0,9.0,1.0,1.0,7.0,11.0,28.0,-17.0,4.0,0.44,11.1,1.22,3.11
