team,venue,matches,wins,draws,losses,goals_for,goals_against,goal_difference,points,points_per_match,win_rate,goals_for_per_match,goals_against_per_match,rank
Paris Saint Germain,All,19,14,3,2,41.0,15.0,26.0,45,2.37,73.7,2.16,0.79,1
Lens,All,18,14,1,3,32.0,13.0,19.0,43,2.39,77.8,1.78,0.72,2
Marseille,All,18,11,2,5,41.0,19.0,22.0,35,1.94,61.1,2.28,1.06,3
Lyon,All,18,10,3,5,27.0,18.0,9.0,33,1.83,55.6,1.5,1.0,4
Lille,All,18,10,2,6,33.0,25.0,8.0,32,1.78,55.6,1.83,1.39,5
Rennes,All,19,8,7,4,30.0,27.0,3.0,31,1.63,42.1,1.58,1.42,6
Strasbourg,All,18,8,3,7,28.0,22.0,6.0,27,1.5,44.4,1.56,1.22,7
Toulouse,All,18,7,5,6,29.0,23.0,6.0,26,1.44,38.9,1.61,1.28,8
Lorient,All,19,6,7,6,25.0,30.0,-5.0,25,1.32,31.6,1.32,1.58,9
Monaco,All,18,7,2,9,28.0,33.0,-5.0,23,1.28,38.9,1.56,1.83,10
Brest,All,18,6,4,8,24.0,29.0,-5.0,22,1.22,33.3,1.33,1.61,11
Angers,All,18,6,4,8,20.0,25.0,-5.0,22,1.22,33.3,1.11,1.39,12
Paris FC,All,18,5,4,9,24.0,32.0,-8.0,19,1.06,27.8,1.33,1.78,13
Le Havre,All,18,4,7,7,16.0,24.0,-8.0,19,1.06,22.2,0.89,1.33,14
Nice,All,18,5,3,10,21.0,35.0,-14.0,18,1.0,27.8,1.17,1.94,15
Nantes,All,18,3,5,10,17.0,30.0,-13.0,14,0.78,16.7,0.94,1.67,16
Auxerre,All,19,3,3,13,14.0,29.0,-15.0,12,0.63,15.8,0.74,1.53,17
Metz,All,18,3,3,12,19.0,40.0,-21.0,12,0.67,16.7,1.06,2.22,18
Lens,Away,9,6,1,2,15.0,9.0,6.0,19,2.11,66.7,1.67,1.0,1
Paris Saint Germain,Away,9,5,2,2,18.0,11.0,7.0,17,1.89,55.6,2.0,1.22,2
Lille,Away,8,4,1,3,17.0,14.0,3.0,13,1.62,50.0,2.12,1.75,3
Rennes,Away,9,3,4,2,11.0,16.0,-5.0,13,1.44,33.3,1.22,1.78,4
Marseille,Away,8,4,0,4,12.0,7.0,5.0,12,1.5,50.0,1.5,0.88,5
Lyon,Away,9,3,3,3,11.0,11.0,0.0,12,1.33,33.3,1.22,1.22,6
Toulouse,Away,8,3,2,3,10.0,8.0,2.0,11,1.38,37.5,1.25,1.0,7
Nantes,Away,9,2,3,4,8.0,13.0,-5.0,9,1.0,22.2,0.89,1.44,8
Strasbourg,Away,9,2,2,5,12.0,17.0,-5.0,8,0.89,22.2,1.33,1.89,9
Paris FC,Away,9,2,2,5,10.0,16.0,-6.0,8,0.89,22.2,1.11,1.78,10
Angers,Away,9,2,2,5,6.0,13.0,-7.0,8,0.89,22.2,0.67,1.44,11
Monaco,Away,8,2,1,5,10.0,15.0,-5.0,7,0.88,25.0,1.25,1.88,12
Brest,Away,8,2,1,5,9.0,16.0,-7.0,7,0.88,25.0,1.12,2.0,13
Le Havre,Away,8,1,2,5,4.0,14.0,-10.0,5,0.62,12.5,0.5,1.75,14
Nice,Away,8,1,1,6,8.0,18.0,-10.0,4,0.5,12.5,1.0,2.25,15
Metz,Away,9,1,1,7,11.0,28.0,-17.0,4,0.44,11.1,1.22,3.11,16
Lorient,Away,8,0,3,5,2.0,14.0,-12.0,3,0.38,0.0,0.25,1.75,17
Auxerre,Away,8,0,2,6,4.0,16.0,-12.0,2,0.25,0.0,0.5,2.0,18
Paris Saint Germain,Home,8,7,1,0,19.0,4.0,15.0,22,2.75,87.5,2.38,0.5,1
Lens,Home,8,7,0,1,16.0,4.0,12.0,21,2.62,87.5,2.0,0.5,2
Marseille,Home,9,6,2,1,24.0,10.0,14.0,20,2.22,66.7,2.67,1.11,3
Lille,Home,9,6,1,2,16.0,8.0,8.0,19,2.11,66.7,1.78,0.89,4
Lyon,Home,8,6,0,2,14.0,6.0,8.0,18,2.25,75.0,1.75,0.75,5
Rennes,Home,8,5,2,1,18.0,8.0,10.0,17,2.12,62.5,2.25,1.0,6
Strasbourg,Home,8,5,1,2,14.0,4.0,10.0,16,2.0,62.5,1.75,0.5,7
Lorient,Home,9,4,4,1,18.0,15.0,3.0,16,1.78,44.4,2.0,1.67,8
Monaco,Home,9,5,1,3,17.0,15.0,2.0,16,1.78,55.6,1.89,1.67,9
Brest,Home,9,4,3,2,14.0,11.0,3.0,15,1.67,44.4,1.56,1.22,10
Angers,Home,8,4,2,2,12.0,7.0,5.0,14,1.75,50.0,1.5,0.88,11
Nice,Home,9,4,2,3,12.0,12.0,0.0,14,1.56,44.4,1.33,1.33,12
Le Havre,Home,9,3,4,2,11.0,9.0,2.0,13,1.44,33.3,1.22,1.0,13
Toulouse,Home,9,3,3,3,14.0,14.0,0.0,12,1.33,33.3,1.56,1.56,14
Auxerre,Home,9,3,1,5,10.0,11.0,-1.0,10,1.11,33.3,1.11,1.22,15
Paris FC,Home,8,2,2,4,12.0,15.0,-3.0,8,1.0,25.0,1.5,1.88,16
Metz,Home,8,2,2,4,7.0,10.0,-3.0,8,1.0,25.0,0.88,1.25,17
Nantes,Home,8,1,2,5,8.0,15.0,-7.0,5,0.62,12.5,1.0,1.88,18
