season,team,matches,xg_total,xga_total,shots_total,deep_total,deep_allowed_total,field_tilt_avg,ppda_att_avg,ppda_def_avg,xg_per_match,xga_per_match,shots_per90,deep_per90,deep_allowed_per90
2025-2026,Lens,18.0,40.83,23.57,0.0,139.0,104.0,0.5720164609053497,10.87,11.02,2.268333333333333,1.3094444444444444,0.0,7.722222222222222,5.777777777777778
2025-2026,Paris Saint Germain,18.0,35.15,16.18,0.0,212.0,80.0,0.726027397260274,7.49,22.99,1.9527777777777777,0.8988888888888888,0.0,11.777777777777779,4.444444444444445
2025-2026,Marseille,18.0,38.64,22.08,0.0,143.0,82.0,0.6355555555555555,10.25,21.91,2.1466666666666665,1.2266666666666666,0.0,7.944444444444445,4.555555555555555
2025-2026,Lille,18.0,33.08,24.66,0.0,179.0,83.0,0.683206106870229,10.55,12.93,1.8377777777777777,1.37,0.0,9.944444444444445,4.611111111111111
2025-2026,Lyon,17.0,28.11,21.69,0.0,112.0,72.0,0.6086956521739131,9.74,12.46,1.653529411764706,1.2758823529411765,0.0,6.588235294117647,4.235294117647059
2025-2026,Rennes,17.0,26.03,30.67,0.0,80.0,128.0,0.38461538461538464,12.49,11.39,1.5311764705882354,1.8041176470588236,0.0,4.705882352941177,7.529411764705882
2025-2026,Toulouse,18.0,25.28,24.36,0.0,104.0,104.0,0.5,13.94,8.81,1.4044444444444446,1.3533333333333333,0.0,5.777777777777778,5.777777777777778
2025-2026,Strasbourg,17.0,27.22,22.61,0.0,116.0,87.0,0.5714285714285714,11.87,13.61,1.6011764705882352,1.33,0.0,6.823529411764706,5.117647058823529
2025-2026,Monaco,18.0,33.38,30.2,0.0,150.0,135.0,0.5263157894736842,8.51,13.27,1.8544444444444446,1.6777777777777778,0.0,8.333333333333334,7.5
2025-2026,Brest,17.0,24.77,26.08,0.0,84.0,109.0,0.43523316062176165,10.73,11.45,1.4570588235294117,1.5341176470588234,0.0,4.9411764705882355,6.411764705882353
2025-2026,Angers,18.0,18.93,33.09,0.0,61.0,116.0,0.3446327683615819,17.65,10.01,1.0516666666666667,1.8383333333333336,0.0,3.388888888888889,6.444444444444445
2025-2026,Lorient,18.0,27.37,26.9,0.0,96.0,107.0,0.4729064039408867,18.72,9.86,1.5205555555555557,1.4944444444444445,0.0,5.333333333333333,5.944444444444445
2025-2026,Le Havre,17.0,20.93,25.18,0.0,62.0,106.0,0.36904761904761907,10.84,11.41,1.2311764705882353,1.4811764705882353,0.0,3.6470588235294117,6.235294117647059
2025-2026,Nice,18.0,25.03,32.69,0.0,103.0,154.0,0.40077821011673154,13.6,11.06,1.3905555555555555,1.816111111111111,0.0,5.722222222222222,8.555555555555555
2025-2026,Paris FC,17.0,23.64,30.24,0.0,95.0,87.0,0.521978021978022,14.1,15.43,1.3905882352941177,1.7788235294117647,0.0,5.588235294117647,5.117647058823529
2025-2026,Nantes,17.0,17.88,31.66,0.0,65.0,127.0,0.3385416666666667,14.72,8.69,1.051764705882353,1.8623529411764705,0.0,3.823529411764706,7.470588235294118
2025-2026,Auxerre,18.0,21.87,28.39,0.0,80.0,113.0,0.41450777202072536,12.89,8.25,1.215,1.5772222222222223,0.0,4.444444444444445,6.277777777777778
2025-2026,Metz,17.0,16.9,34.79,0.0,53.0,140.0,0.27461139896373055,18.01,12.34,0.9941176470588234,2.046470588235294,0.0,3.1176470588235294,8.235294117647058
