opponent,venue,player,available
Brest,Home,Abner,1
Brest,Home,Adam Karabec,1
Brest,Home,Adil Hamdani,0
Brest,Home,Afonso Moreira,1
Brest,Home,Ainsley Maitland-Niles,1
Brest,Home,Clinton Mata,1
Brest,Home,Corentin Tolisso,0
Brest,Home,Da Silva,1
Brest,Home,Dominik Greif,1
Brest,Home,Endrick,1
Brest,Home,Enzo Molebe,0
Brest,Home,G. Rodriguez,1
Brest,Home,Georges Mikautadze,0
Brest,Home,Hans Hateboer,1
Brest,Home,Himbert,1
Brest,Home,Khalis Merah,1
Brest,Home,Malick Fofana,0
Brest,Home,Martin Satriano,0
Brest,Home,Mathys De Carvalho,1
Brest,Home,Moussa Niakhate,0
Brest,Home,Nicolás Tagliafico,1
Brest,Home,Orel Mangala,1
Brest,Home,Pavel Šulc,1
Brest,Home,Rachid Ghezzal,0
Brest,Home,Ruben Kluivert,1
Brest,Home,Rémy Descamps,1
Brest,Home,Sael Kumbedi,0
Brest,Home,Tanner Tessmann,1
Brest,Home,Tyler Morton,1
