combo,size,matches,avg_points,avg_score_final
Abner + Nicolás Tagliafico,2,7,2.29,77.66
Ainsley Maitland-Niles + Hans Hateboer,2,4,2.0,71.66
Hans Hateboer + Nicolás Tagliafico,2,4,2.0,71.66
Ruben Kluivert + Rémy Descamps,2,3,2.0,67.57
Abner + Afonso Moreira,2,9,1.89,67.52
Nicolás Tagliafico + Ruben Kluivert,2,5,1.8,64.62
Abner + Hans Hateboer,2,4,1.75,63.23
Khalis Merah + Nicolás Tagliafico,2,7,1.71,61.26
Abner + Ainsley Maitland-Niles,2,10,1.7,62.48
Hans Hateboer + Tanner Tessmann,2,3,1.67,65.12
Nicolás Tagliafico + Pavel Šulc,2,12,1.67,61.57
Nicolás Tagliafico + Tyler Morton,2,12,1.67,61.45
Abner + Khalis Merah,2,8,1.62,59.02
Afonso Moreira + Hans Hateboer,2,5,1.6,60.63
Corentin Tolisso + Hans Hateboer,2,5,1.6,60.63
Dominik Greif + Hans Hateboer,2,5,1.6,60.63
Hans Hateboer + Martin Satriano,2,5,1.6,60.63
Hans Hateboer + Mathys De Carvalho,2,5,1.6,60.63
Hans Hateboer + Moussa Niakhate,2,5,1.6,60.63
Hans Hateboer + Pavel Šulc,2,5,1.6,60.63
Hans Hateboer + Tyler Morton,2,5,1.6,60.63
Abner + Mathys De Carvalho,2,5,1.6,60.09
Abner + Tyler Morton,2,10,1.6,59.37
Abner + Dominik Greif,2,7,1.57,60.08
Abner + Martin Satriano,2,7,1.57,60.08
Mathys De Carvalho + Nicolás Tagliafico,2,7,1.57,59.09
Mathys De Carvalho + Tyler Morton,2,7,1.57,58.97
Abner + Tanner Tessmann,2,9,1.56,59.27
Martin Satriano + Nicolás Tagliafico,2,9,1.56,58.97
Martin Satriano + Tyler Morton,2,9,1.56,58.87
Abner + Corentin Tolisso,2,11,1.55,58.3
Abner + Pavel Šulc,2,11,1.55,58.3
Afonso Moreira + Nicolás Tagliafico,2,13,1.54,58.06
Ainsley Maitland-Niles + Nicolás Tagliafico,2,13,1.54,58.06
Corentin Tolisso + Nicolás Tagliafico,2,13,1.54,58.06
Afonso Moreira + Tyler Morton,2,13,1.54,57.99
Ainsley Maitland-Niles + Martin Satriano,2,10,1.5,57.83
Ainsley Maitland-Niles + Mathys De Carvalho,2,8,1.5,57.65
Malick Fofana + Ruben Kluivert,2,4,1.5,57.58
Afonso Moreira + Pavel Šulc,2,14,1.5,57.35
