combo,size,matches,avg_points,avg_score_final,combo_size
Abner + Khalis Merah + Nicolás Tagliafico,3,4,3.0,93.62,3
Abner + Ainsley Maitland-Niles + Hans Hateboer,3,3,2.33,78.81,3
Abner + Hans Hateboer + Nicolás Tagliafico,3,3,2.33,78.81,3
Abner + Mathys De Carvalho + Nicolás Tagliafico,3,3,2.33,78.81,3
Abner + Afonso Moreira + Nicolás Tagliafico,3,7,2.29,77.66,3
Abner + Ainsley Maitland-Niles + Nicolás Tagliafico,3,7,2.29,77.66,3
Abner + Corentin Tolisso + Nicolás Tagliafico,3,7,2.29,77.66,3
Abner + Nicolás Tagliafico + Pavel Šulc,3,7,2.29,77.66,3
Abner + Nicolás Tagliafico + Tyler Morton,3,7,2.29,77.66,3
Abner + Nicolás Tagliafico + Ruben Kluivert,3,4,2.25,76.8,3
Nicolás Tagliafico + Pavel Šulc + Ruben Kluivert,3,4,2.25,76.8,3
Khalis Merah + Nicolás Tagliafico + Ruben Kluivert,3,4,2.25,73.88,3
Abner + Adam Karabec + Nicolás Tagliafico,3,6,2.17,75.39,3
Abner + Nicolás Tagliafico + Tanner Tessmann,3,6,2.17,75.39,3
Abner + Moussa Niakhate + Nicolás Tagliafico,3,6,2.17,75.19,3
Abner + Clinton Mata + Nicolás Tagliafico,3,6,2.17,74.79,3
Abner + Afonso Moreira + Khalis Merah,3,6,2.17,73.09,3
Abner + Afonso Moreira + Ainsley Maitland-Niles,3,8,2.12,73.9,3
Afonso Moreira + Ainsley Maitland-Niles + Hans Hateboer,3,4,2.0,71.66,3
Afonso Moreira + Hans Hateboer + Nicolás Tagliafico,3,4,2.0,71.66,3
Ainsley Maitland-Niles + Corentin Tolisso + Hans Hateboer,3,4,2.0,71.66,3
Ainsley Maitland-Niles + Dominik Greif + Hans Hateboer,3,4,2.0,71.66,3
Ainsley Maitland-Niles + Hans Hateboer + Martin Satriano,3,4,2.0,71.66,3
Ainsley Maitland-Niles + Hans Hateboer + Mathys De Carvalho,3,4,2.0,71.66,3
Ainsley Maitland-Niles + Hans Hateboer + Moussa Niakhate,3,4,2.0,71.66,3
Ainsley Maitland-Niles + Hans Hateboer + Nicolás Tagliafico,3,4,2.0,71.66,3
Ainsley Maitland-Niles + Hans Hateboer + Pavel Šulc,3,4,2.0,71.66,3
Ainsley Maitland-Niles + Hans Hateboer + Tyler Morton,3,4,2.0,71.66,3
Corentin Tolisso + Hans Hateboer + Nicolás Tagliafico,3,4,2.0,71.66,3
Dominik Greif + Hans Hateboer + Nicolás Tagliafico,3,4,2.0,71.66,3
Hans Hateboer + Martin Satriano + Nicolás Tagliafico,3,4,2.0,71.66,3
Hans Hateboer + Mathys De Carvalho + Nicolás Tagliafico,3,4,2.0,71.66,3
Hans Hateboer + Moussa Niakhate + Nicolás Tagliafico,3,4,2.0,71.66,3
Hans Hateboer + Nicolás Tagliafico + Pavel Šulc,3,4,2.0,71.66,3
Hans Hateboer + Nicolás Tagliafico + Tyler Morton,3,4,2.0,71.66,3
Abner + Afonso Moreira + Malick Fofana,3,3,2.0,71.57,3
Abner + Malick Fofana + Nicolás Tagliafico,3,3,2.0,71.57,3
Afonso Moreira + Malick Fofana + Ruben Kluivert,3,3,2.0,71.57,3
Malick Fofana + Nicolás Tagliafico + Ruben Kluivert,3,3,2.0,71.57,3
Abner + Afonso Moreira + Tanner Tessmann,3,7,2.0,71.41,3
Abner + Dominik Greif + Nicolás Tagliafico,3,5,2.0,71.31,3
Abner + Martin Satriano + Nicolás Tagliafico,3,5,2.0,71.31,3
Abner + Ainsley Maitland-Niles + Mathys De Carvalho,3,4,2.0,70.99,3
Abner + Afonso Moreira + Tyler Morton,3,8,2.0,70.02,3
Khalis Merah + Nicolás Tagliafico + Pavel Šulc,3,6,2.0,68.82,3
Khalis Merah + Nicolás Tagliafico + Tyler Morton,3,6,2.0,68.57,3
Khalis Merah + Martin Satriano + Nicolás Tagliafico,3,3,2.0,68.27,3
Khalis Merah + Martin Satriano + Tyler Morton,3,3,2.0,67.97,3
Abner + Ruben Kluivert + Rémy Descamps,3,3,2.0,67.57,3
Adam Karabec + Ruben Kluivert + Rémy Descamps,3,3,2.0,67.57,3
Ainsley Maitland-Niles + Ruben Kluivert + Rémy Descamps,3,3,2.0,67.57,3
Clinton Mata + Ruben Kluivert + Rémy Descamps,3,3,2.0,67.57,3
Corentin Tolisso + Ruben Kluivert + Rémy Descamps,3,3,2.0,67.57,3
Khalis Merah + Malick Fofana + Ruben Kluivert,3,3,2.0,67.57,3
Khalis Merah + Ruben Kluivert + Rémy Descamps,3,3,2.0,67.57,3
Malick Fofana + Ruben Kluivert + Rémy Descamps,3,3,2.0,67.57,3
Moussa Niakhate + Ruben Kluivert + Rémy Descamps,3,3,2.0,67.57,3
Pavel Šulc + Ruben Kluivert + Rémy Descamps,3,3,2.0,67.57,3
Ruben Kluivert + Rémy Descamps + Tanner Tessmann,3,3,2.0,67.57,3
Ruben Kluivert + Rémy Descamps + Tyler Morton,3,3,2.0,67.57,3
Abner + Afonso Moreira + Corentin Tolisso,3,9,1.89,67.52,3
Abner + Afonso Moreira + Pavel Šulc,3,9,1.89,67.52,3
Abner + Ainsley Maitland-Niles + Khalis Merah,3,7,1.86,65.09,3
