player,pos,pos_fr,Playing Time_Min,rating,importance,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_xG,Per 90 Minutes_xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Performance_CrdY,Performance_CrdR
Corentin Tolisso,FW,BU,1396,58.5,93.11764705882352,0.19,0.0,0.41,0.15,18,93,75,4,0
Ainsley Maitland-Niles,DF,DC,1306,56.5,88.666586058884,0.07,0.21,0.11,0.15,21,48,60,3,1
Pavel Šulc,,NAN,887,64.8,87.18345323741006,0.81,0.2,0.57,0.2,23,25,48,2,0
Moussa Niakhate,DF,DC,1364,49.5,82.47995889003083,0.0,0.13,0.01,0.02,18,74,4,3,0
Afonso Moreira,FW,BU,655,61.9,78.17365939181428,0.27,0.55,0.13,0.44,30,16,99,2,0
Tanner Tessmann,DF,DC,1063,51.5,77.0856961489632,0.08,0.0,0.08,0.13,8,61,18,0,0
Tyler Morton,MF,MC,1314,41.4,72.37222658847713,0.07,0.07,0.07,0.1,28,67,11,3,1
Malick Fofana,MF,MC,721,52.8,69.89435342482318,0.25,0.12,0.34,0.24,35,14,95,1,0
Abner,DF,DC,890,48.4,69.34302641920077,0.2,0.0,0.1,0.04,18,53,41,2,1
Clinton Mata,DF,DC,1393,30.4,62.34462849888156,0.0,0.0,0.01,0.0,8,42,3,4,0
Nicolás Tagliafico,DF,DC,889,38.9,58.93969530258146,0.0,0.3,0.12,0.14,15,40,23,3,1
Martin Satriano,,NAN,692,33.8,48.40783507647664,0.26,0.13,0.23,0.14,7,14,32,1,0
Adam Karabec,MF,MC,768,31.9,48.24587388912399,0.12,0.0,0.19,0.13,20,26,64,2,0
Dominik Greif,GK,G,1170,22.3,47.880781089414185,0.0,0.08,0.0,0.01,0,1,0,0,0
Georges Mikautadze,FW,BU,179,38.1,40.18804788102292,0.5,0.0,0.53,0.0,7,3,8,0,0
Khalis Merah,FW,BU,582,24.9,35.91536182818451,0.0,0.0,0.09,0.12,13,26,20,2,0
Hans Hateboer,,NAN,224,25.5,27.556435523849824,0.0,0.0,0.24,0.0,5,9,21,0,1
Ruben Kluivert,DF,DC,288,21.6,24.907442113536067,0.0,0.31,0.0,0.04,3,7,2,1,0
Mathys De Carvalho,,NAN,271,15.5,17.815519013360742,0.0,0.0,0.14,0.02,5,19,3,1,0
Rémy Descamps,,NAN,360,10.1,14.157366543739796,0.0,0.0,0.0,0.0,0,0,0,0,0
Sael Kumbedi,DF,DC,65,13.0,9.897376216673722,0.0,0.0,0.02,0.0,1,0,1,1,0
Rachid Ghezzal,FW,BU,142,9.0,7.466477238377364,0.0,0.0,0.06,0.0,2,4,9,0,0
Adil Hamdani,FW,BU,6,11.0,6.226890756302521,0.0,0.0,0.22,0.0,0,1,1,0,0
Orel Mangala,FW,BU,16,10.6,6.041714527537635,0.0,0.0,0.0,0.1,2,6,3,0,0
Enzo Molebe,,NAN,10,5.3,0.10071942446043165,0.0,0.0,0.0,0.0,1,0,0,0,0
