match_key,combo,size
2526_2025-08-16 Lens-Lyon,Abner + Ainsley Maitland-Niles,2
2526_2025-08-16 Lens-Lyon,Abner + Clinton Mata,2
2526_2025-08-16 Lens-Lyon,Abner + Corentin Tolisso,2
2526_2025-08-16 Lens-Lyon,Abner + Georges Mikautadze,2
2526_2025-08-16 Lens-Lyon,Abner + Malick Fofana,2
2526_2025-08-16 Lens-Lyon,Abner + Moussa Niakhate,2
2526_2025-08-16 Lens-Lyon,Abner + Rémy Descamps,2
2526_2025-08-16 Lens-Lyon,Abner + Sael Kumbedi,2
2526_2025-08-16 Lens-Lyon,Abner + Tanner Tessmann,2
2526_2025-08-16 Lens-Lyon,Abner + Tyler Morton,2
2526_2025-08-16 Lens-Lyon,Ainsley Maitland-Niles + Clinton Mata,2
2526_2025-08-16 Lens-Lyon,Ainsley Maitland-Niles + Corentin Tolisso,2
2526_2025-08-16 Lens-Lyon,Ainsley Maitland-Niles + Georges Mikautadze,2
2526_2025-08-16 Lens-Lyon,Ainsley Maitland-Niles + Malick Fofana,2
2526_2025-08-16 Lens-Lyon,Ainsley Maitland-Niles + Moussa Niakhate,2
2526_2025-08-16 Lens-Lyon,Ainsley Maitland-Niles + Rémy Descamps,2
2526_2025-08-16 Lens-Lyon,Ainsley Maitland-Niles + Sael Kumbedi,2
2526_2025-08-16 Lens-Lyon,Ainsley Maitland-Niles + Tanner Tessmann,2
2526_2025-08-16 Lens-Lyon,Ainsley Maitland-Niles + Tyler Morton,2
2526_2025-08-16 Lens-Lyon,Clinton Mata + Corentin Tolisso,2
2526_2025-08-16 Lens-Lyon,Clinton Mata + Georges Mikautadze,2
2526_2025-08-16 Lens-Lyon,Clinton Mata + Malick Fofana,2
2526_2025-08-16 Lens-Lyon,Clinton Mata + Moussa Niakhate,2
2526_2025-08-16 Lens-Lyon,Clinton Mata + Rémy Descamps,2
2526_2025-08-16 Lens-Lyon,Clinton Mata + Sael Kumbedi,2
2526_2025-08-16 Lens-Lyon,Clinton Mata + Tanner Tessmann,2
2526_2025-08-16 Lens-Lyon,Clinton Mata + Tyler Morton,2
2526_2025-08-16 Lens-Lyon,Corentin Tolisso + Georges Mikautadze,2
2526_2025-08-16 Lens-Lyon,Corentin Tolisso + Malick Fofana,2
2526_2025-08-16 Lens-Lyon,Corentin Tolisso + Moussa Niakhate,2
2526_2025-08-16 Lens-Lyon,Corentin Tolisso + Rémy Descamps,2
2526_2025-08-16 Lens-Lyon,Corentin Tolisso + Sael Kumbedi,2
2526_2025-08-16 Lens-Lyon,Corentin Tolisso + Tanner Tessmann,2
2526_2025-08-16 Lens-Lyon,Corentin Tolisso + Tyler Morton,2
2526_2025-08-16 Lens-Lyon,Georges Mikautadze + Malick Fofana,2
2526_2025-08-16 Lens-Lyon,Georges Mikautadze + Moussa Niakhate,2
2526_2025-08-16 Lens-Lyon,Georges Mikautadze + Rémy Descamps,2
2526_2025-08-16 Lens-Lyon,Georges Mikautadze + Sael Kumbedi,2
2526_2025-08-16 Lens-Lyon,Georges Mikautadze + Tanner Tessmann,2
2526_2025-08-16 Lens-Lyon,Georges Mikautadze + Tyler Morton,2
2526_2025-08-16 Lens-Lyon,Malick Fofana + Moussa Niakhate,2
2526_2025-08-16 Lens-Lyon,Malick Fofana + Rémy Descamps,2
