combo,size,matches_together
Clinton Mata + Corentin Tolisso,2,15
Corentin Tolisso + Tyler Morton,2,14
Clinton Mata + Moussa Niakhate,2,14
Ainsley Maitland-Niles + Clinton Mata,2,14
Clinton Mata + Tyler Morton,2,14
Corentin Tolisso + Moussa Niakhate,2,14
Ainsley Maitland-Niles + Corentin Tolisso,2,13
Clinton Mata + Corentin Tolisso + Tyler Morton,3,13
Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso,3,13
Moussa Niakhate + Tyler Morton,2,13
Clinton Mata + Corentin Tolisso + Moussa Niakhate,3,13
Ainsley Maitland-Niles + Tyler Morton,2,12
Corentin Tolisso + Moussa Niakhate + Tyler Morton,3,12
Clinton Mata + Dominik Greif,2,12
Ainsley Maitland-Niles + Moussa Niakhate,2,12
Corentin Tolisso + Dominik Greif,2,12
Clinton Mata + Moussa Niakhate + Tyler Morton,3,12
Ainsley Maitland-Niles + Clinton Mata + Tyler Morton,3,12
Ainsley Maitland-Niles + Clinton Mata + Moussa Niakhate,3,12
Ainsley Maitland-Niles + Corentin Tolisso + Tyler Morton,3,11
Clinton Mata + Corentin Tolisso + Dominik Greif,3,11
Ainsley Maitland-Niles + Corentin Tolisso + Moussa Niakhate,3,11
Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Moussa Niakhate,4,11
Dominik Greif + Tyler Morton,2,11
Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Tyler Morton,4,11
Clinton Mata + Corentin Tolisso + Moussa Niakhate + Tyler Morton,4,11
Abner + Corentin Tolisso,2,11
Moussa Niakhate + Tanner Tessmann,2,11
Dominik Greif + Moussa Niakhate,2,11
Abner + Clinton Mata,2,10
Ainsley Maitland-Niles + Dominik Greif,2,10
Clinton Mata + Dominik Greif + Moussa Niakhate,3,10
Clinton Mata + Dominik Greif + Tyler Morton,3,10
Ainsley Maitland-Niles + Moussa Niakhate + Tyler Morton,3,10
Corentin Tolisso + Dominik Greif + Tyler Morton,3,10
Ainsley Maitland-Niles + Tanner Tessmann,2,10
Clinton Mata + Moussa Niakhate + Tanner Tessmann,3,10
Abner + Corentin Tolisso + Tyler Morton,3,10
Abner + Tyler Morton,2,10
Ainsley Maitland-Niles + Clinton Mata + Tanner Tessmann,3,10
Ainsley Maitland-Niles + Clinton Mata + Dominik Greif,3,10
Ainsley Maitland-Niles + Moussa Niakhate + Tanner Tessmann,3,10
Ainsley Maitland-Niles + Clinton Mata + Moussa Niakhate + Tyler Morton,4,10
Corentin Tolisso + Tanner Tessmann,2,10
Corentin Tolisso + Dominik Greif + Moussa Niakhate,3,10
Corentin Tolisso + Moussa Niakhate + Tanner Tessmann,3,10
Ainsley Maitland-Niles + Clinton Mata + Moussa Niakhate + Tanner Tessmann,4,10
Abner + Clinton Mata + Corentin Tolisso,3,10
Clinton Mata + Tanner Tessmann,2,10
Clinton Mata + Corentin Tolisso + Moussa Niakhate + Tanner Tessmann,4,9
Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Moussa Niakhate + Tyler Morton,5,9
Ainsley Maitland-Niles + Corentin Tolisso + Dominik Greif,3,9
Pavel Šulc + Tyler Morton,2,9
Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Moussa Niakhate + Tanner Tessmann,5,9
Corentin Tolisso + Pavel Šulc,2,9
Adam Karabec + Ainsley Maitland-Niles + Corentin Tolisso,3,9
Abner + Corentin Tolisso + Moussa Niakhate,3,9
Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso,4,9
Clinton Mata + Corentin Tolisso + Dominik Greif + Tyler Morton,4,9
Abner + Clinton Mata + Corentin Tolisso + Tyler Morton,4,9
Adam Karabec + Ainsley Maitland-Niles + Clinton Mata,3,9
Abner + Moussa Niakhate,2,9
Corentin Tolisso + Pavel Šulc + Tyler Morton,3,9
Ainsley Maitland-Niles + Corentin Tolisso + Tanner Tessmann,3,9
Ainsley Maitland-Niles + Corentin Tolisso + Moussa Niakhate + Tyler Morton,4,9
Clinton Mata + Corentin Tolisso + Tanner Tessmann,3,9
Adam Karabec + Clinton Mata + Corentin Tolisso,3,9
Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Tanner Tessmann,4,9
Abner + Clinton Mata + Tyler Morton,3,9
Ainsley Maitland-Niles + Corentin Tolisso + Moussa Niakhate + Tanner Tessmann,4,9
Dominik Greif + Moussa Niakhate + Tyler Morton,3,9
Adam Karabec + Clinton Mata,2,9
Adam Karabec + Ainsley Maitland-Niles,2,9
Clinton Mata + Corentin Tolisso + Dominik Greif + Moussa Niakhate,4,9
Adam Karabec + Corentin Tolisso,2,9
Tanner Tessmann + Tyler Morton,2,9
Moussa Niakhate + Tanner Tessmann + Tyler Morton,3,9
Dominik Greif + Nicolás Tagliafico,2,9
Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Dominik Greif,4,9
Dominik Greif + Moussa Niakhate + Nicolás Tagliafico,3,8
Moussa Niakhate + Nicolás Tagliafico,2,8
Dominik Greif + Martin Satriano,2,8
Adam Karabec + Moussa Niakhate,2,8
Dominik Greif + Pavel Šulc + Tyler Morton,3,8
Clinton Mata + Moussa Niakhate + Tanner Tessmann + Tyler Morton,4,8
Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Malick Fofana,4,8
Clinton Mata + Nicolás Tagliafico,2,8
Corentin Tolisso + Martin Satriano,2,8
Ainsley Maitland-Niles + Dominik Greif + Moussa Niakhate,3,8
Corentin Tolisso + Tanner Tessmann + Tyler Morton,3,8
Ainsley Maitland-Niles + Clinton Mata + Dominik Greif + Moussa Niakhate,4,8
Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Moussa Niakhate,5,8
Clinton Mata + Pavel Šulc,2,8
Clinton Mata + Corentin Tolisso + Malick Fofana,3,8
Clinton Mata + Pavel Šulc + Tyler Morton,3,8
Clinton Mata + Tanner Tessmann + Tyler Morton,3,8
Abner + Moussa Niakhate + Tyler Morton,3,8
Abner + Ainsley Maitland-Niles,2,8
Abner + Corentin Tolisso + Moussa Niakhate + Tyler Morton,4,8
Ainsley Maitland-Niles + Moussa Niakhate + Tanner Tessmann + Tyler Morton,4,8
Abner + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso,4,8
Abner + Ainsley Maitland-Niles + Corentin Tolisso,3,8
Ainsley Maitland-Niles + Tanner Tessmann + Tyler Morton,3,8
Dominik Greif + Pavel Šulc,2,8
Dominik Greif + Nicolás Tagliafico + Tyler Morton,3,8
Corentin Tolisso + Moussa Niakhate + Tanner Tessmann + Tyler Morton,4,8
Abner + Clinton Mata + Corentin Tolisso + Moussa Niakhate,4,8
Corentin Tolisso + Dominik Greif + Moussa Niakhate + Tyler Morton,4,8
Adam Karabec + Corentin Tolisso + Moussa Niakhate,3,8
Clinton Mata + Corentin Tolisso + Pavel Šulc,3,8
Clinton Mata + Corentin Tolisso + Pavel Šulc + Tyler Morton,4,8
Ainsley Maitland-Niles + Corentin Tolisso + Malick Fofana,3,8
Ainsley Maitland-Niles + Clinton Mata + Dominik Greif + Tyler Morton,4,8
Corentin Tolisso + Nicolás Tagliafico,2,8
Abner + Clinton Mata + Moussa Niakhate,3,8
Adam Karabec + Ainsley Maitland-Niles + Corentin Tolisso + Moussa Niakhate,4,8
Corentin Tolisso + Dominik Greif + Martin Satriano,3,8
Adam Karabec + Clinton Mata + Corentin Tolisso + Moussa Niakhate,4,8
Abner + Ainsley Maitland-Niles + Clinton Mata,3,8
Nicolás Tagliafico + Tyler Morton,2,8
Clinton Mata + Dominik Greif + Moussa Niakhate + Tyler Morton,4,8
Clinton Mata + Dominik Greif + Nicolás Tagliafico,3,8
Ainsley Maitland-Niles + Clinton Mata + Malick Fofana,3,8
Adam Karabec + Ainsley Maitland-Niles + Moussa Niakhate,3,8
Corentin Tolisso + Dominik Greif + Nicolás Tagliafico,3,8
Ainsley Maitland-Niles + Clinton Mata + Tanner Tessmann + Tyler Morton,4,8
Ainsley Maitland-Niles + Clinton Mata + Moussa Niakhate + Tanner Tessmann + Tyler Morton,5,8
Corentin Tolisso + Dominik Greif + Pavel Šulc,3,8
Ainsley Maitland-Niles + Malick Fofana,2,8
Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Moussa Niakhate,4,8
Clinton Mata + Malick Fofana,2,8
Corentin Tolisso + Dominik Greif + Pavel Šulc + Tyler Morton,4,8
Ainsley Maitland-Niles + Dominik Greif + Tyler Morton,3,8
Adam Karabec + Clinton Mata + Moussa Niakhate,3,8
Corentin Tolisso + Malick Fofana,2,8
Adam Karabec + Clinton Mata + Tanner Tessmann,3,7
Adam Karabec + Clinton Mata + Tyler Morton,3,7
Clinton Mata + Corentin Tolisso + Dominik Greif + Martin Satriano,4,7
Adam Karabec + Clinton Mata + Corentin Tolisso + Moussa Niakhate + Tanner Tessmann,5,7
Adam Karabec + Corentin Tolisso + Dominik Greif,3,7
Clinton Mata + Corentin Tolisso + Dominik Greif + Moussa Niakhate + Tyler Morton,5,7
Clinton Mata + Corentin Tolisso + Dominik Greif + Nicolás Tagliafico,4,7
Ainsley Maitland-Niles + Corentin Tolisso + Dominik Greif + Tyler Morton,4,7
Clinton Mata + Corentin Tolisso + Dominik Greif + Pavel Šulc,4,7
Clinton Mata + Corentin Tolisso + Dominik Greif + Pavel Šulc + Tyler Morton,5,7
Ainsley Maitland-Niles + Nicolás Tagliafico,2,7
Abner + Ainsley Maitland-Niles + Clinton Mata + Tyler Morton,4,7
