match_key,player,pos,age,minutes_played,goals,assists,xg,xag,is_starter
2025-08-16_lyon,Abner,LB,25-081,90,0,0,0.1,0.0,True
2025-08-16_lyon,Ainsley Maitland-Niles,"RW,RB",27-352,90,0,0,0.0,0.1,True
2025-08-16_lyon,Corentin Tolisso,AM,31-013,90,0,0,0.2,0.7,True
2025-08-16_lyon,Clinton Mata,CB,32-282,90,0,0,0.0,0.0,True
2025-08-16_lyon,Tyler Morton,DM,22-289,90,0,0,0.0,0.1,True
2025-08-16_lyon,Moussa Niakhate,CB,29-161,90,0,0,0.0,0.0,True
2025-08-16_lyon,Tanner Tessmann,DM,23-326,90,0,0,0.0,0.1,True
2025-08-16_lyon,Rémy Descamps,GK,29-052,90,0,0,0.0,0.0,True
2025-08-16_lyon,Malick Fofana,LW,20-138,89,0,1,0.5,0.3,True
2025-08-16_lyon,Georges Mikautadze,FW,24-289,89,1,0,0.6,0.0,True
2025-08-16_lyon,Sael Kumbedi,RB,20-143,65,0,0,0.0,0.0,True
2025-08-16_lyon,Khalis Merah,RW,18-173,25,0,0,0.0,0.0,False
2025-08-16_lyon,Adam Karabec,FW,22-045,1,0,0,0.0,0.0,False
2025-08-16_lyon,Pavel Šulc,LW,24-230,1,0,0,0.0,0.0,False
2025-08-23_lyon,Ainsley Maitland-Niles,RB,27-359,90,0,1,0.0,0.6,True
2025-08-23_lyon,Georges Mikautadze,FW,24-296,90,0,0,0.5,0.0,True
2025-08-23_lyon,Tyler Morton,DM,22-296,90,0,0,0.0,0.2,True
2025-08-23_lyon,Moussa Niakhate,CB,29-168,90,0,0,0.0,0.0,True
2025-08-23_lyon,Rémy Descamps,GK,29-059,90,0,0,0.0,0.0,True
2025-08-23_lyon,Tanner Tessmann,DM,23-333,90,0,0,0.0,0.1,True
2025-08-23_lyon,Clinton Mata,CB,32-289,85,0,0,0.0,0.0,True
2025-08-23_lyon,Malick Fofana,LW,20-145,85,1,0,0.6,0.5,True
2025-08-23_lyon,Corentin Tolisso,AM,31-020,74,1,0,0.6,0.0,True
2025-08-23_lyon,Pavel Šulc,RW,24-237,73,0,1,0.2,0.6,True
2025-08-23_lyon,Abner,LB,25-088,73,0,0,0.1,0.0,True
2025-08-23_lyon,Adam Karabec,RW,22-052,17,1,0,0.8,0.0,False
2025-08-23_lyon,Nicolás Tagliafico,LB,32-357,17,0,0,0.0,0.0,False
2025-08-23_lyon,Khalis Merah,AM,18-180,16,0,0,0.0,0.0,False
2025-08-23_lyon,Afonso Moreira,LW,20-157,5,0,0,0.0,0.0,False
2025-08-23_lyon,Ruben Kluivert,CB,24-094,5,0,0,0.0,0.0,False
2025-08-31_lyon,Corentin Tolisso,FW,31-028,90,0,0,0.6,0.0,True
2025-08-31_lyon,Clinton Mata,CB,32-297,90,0,0,0.1,0.1,True
2025-08-31_lyon,Ainsley Maitland-Niles,RB,28-002,90,0,0,0.0,0.0,True
