match_key,combo,size,date,opponent,points,score_final
2025-08-16_lyon,Abner + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Georges Mikautadze + Malick Fofana + Moussa Niakhate + Rémy Descamps + Sael Kumbedi + Tanner Tessmann + Tyler Morton,11,2025-08-16,lyon,0,18.0
2025-08-23_lyon,Abner + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Georges Mikautadze + Malick Fofana + Moussa Niakhate + Pavel Šulc + Rémy Descamps + Tanner Tessmann + Tyler Morton,11,2025-08-23,lyon,0,7.2
2025-08-31_lyon,Abner + Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Khalis Merah + Malick Fofana + Moussa Niakhate + Rémy Descamps + Tanner Tessmann + Tyler Morton,11,2025-08-31,lyon,0,15.3
2025-09-14_lyon,Abner + Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Khalis Merah + Malick Fofana + Moussa Niakhate + Rémy Descamps + Tanner Tessmann + Tyler Morton,11,2025-09-14,lyon,3,89.2
2025-09-19_lyon,Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Dominik Greif + Khalis Merah + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Tanner Tessmann,11,2025-09-19,lyon,0,17.4
2025-09-28_lyon,Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Dominik Greif + Khalis Merah + Malick Fofana + Moussa Niakhate + Nicolás Tagliafico + Tanner Tessmann + Tyler Morton,11,2025-09-28,lyon,0,21.0
2025-10-05_lyon,Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Tanner Tessmann + Tyler Morton,11,2025-10-05,lyon,3,86.8
2025-10-18_lyon,Abner + Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano + Pavel Šulc + Ruben Kluivert + Tyler Morton,11,2025-10-18,lyon,3,77.2
2025-10-26_lyon,Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Dominik Greif + Malick Fofana + Moussa Niakhate + Nicolás Tagliafico + Pavel Šulc + Tanner Tessmann + Tyler Morton,11,2025-10-26,lyon,0,16.2
2025-10-29_lyon,Abner + Adam Karabec + Afonso Moreira + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Dominik Greif + Mathys De Carvalho + Moussa Niakhate + Pavel Šulc + Tyler Morton,11,2025-10-29,lyon,1,44.23
2025-11-02_lyon,Afonso Moreira + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Dominik Greif + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Pavel Šulc + Rachid Ghezzal + Tyler Morton,11,2025-11-02,lyon,1,50.23
2025-11-09_lyon,Afonso Moreira + Ainsley Maitland-Niles + Clinton Mata + Dominik Greif + Khalis Merah + Moussa Niakhate + Nicolás Tagliafico + Rachid Ghezzal + Ruben Kluivert + Tanner Tessmann + Tyler Morton,11,2025-11-09,lyon,3,88.9
2025-11-23_lyon,Abner + Adam Karabec + Afonso Moreira + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Dominik Greif + Martin Satriano + Moussa Niakhate + Pavel Šulc + Tanner Tessmann,11,2025-11-23,lyon,1,47.53
2025-11-30_lyon,Abner + Corentin Tolisso + Dominik Greif + Hans Hateboer + Martin Satriano + Mathys De Carvalho + Moussa Niakhate + Nicolás Tagliafico + Pavel Šulc + Tanner Tessmann + Tyler Morton,11,2025-11-30,lyon,0,9.9
2025-12-07_lyon,Abner + Clinton Mata + Corentin Tolisso + Dominik Greif + Hans Hateboer + Martin Satriano + Mathys De Carvalho + Moussa Niakhate + Nicolás Tagliafico + Pavel Šulc + Tyler Morton,11,2025-12-07,lyon,3,91.3
2025-12-14_lyon,Abner + Afonso Moreira + Clinton Mata + Corentin Tolisso + Dominik Greif + Hans Hateboer + Khalis Merah + Martin Satriano + Moussa Niakhate + Pavel Šulc + Tyler Morton,11,2025-12-14,lyon,0,16.5
2026-01-03_lyon,Abner + Afonso Moreira + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Dominik Greif + Khalis Merah + Nicolás Tagliafico + Pavel Šulc + Ruben Kluivert + Tyler Morton,11,2026-01-03,lyon,0,12.3
