match_key,players,size
2025-08-16_lyon,"['Abner', 'Adam Karabec', 'Ainsley Maitland-Niles', 'Clinton Mata', 'Corentin Tolisso', 'Georges Mikautadze', 'Khalis Merah', 'Malick Fofana', 'Moussa Niakhate', 'Pavel Šulc', 'Rémy Descamps', 'Sael Kumbedi', 'Tanner Tessmann', 'Tyler Morton']",14
2025-08-23_lyon,"['Abner', 'Adam Karabec', 'Afonso Moreira', 'Ainsley Maitland-Niles', 'Clinton Mata', 'Corentin Tolisso', 'Georges Mikautadze', 'Khalis Merah', 'Malick Fofana', 'Moussa Niakhate', 'Nicolás Tagliafico', 'Pavel Šulc', 'Ruben Kluivert', 'Rémy Descamps', 'Tanner Tessmann', 'Tyler Morton']",16
2025-08-31_lyon,"['Abner', 'Adam Karabec', 'Afonso Moreira', 'Ainsley Maitland-Niles', 'Clinton Mata', 'Corentin Tolisso', 'Khalis Merah', 'Malick Fofana', 'Moussa Niakhate', 'Nicolás Tagliafico', 'Pavel Šulc', 'Ruben Kluivert', 'Rémy Descamps', 'Tanner Tessmann', 'Tyler Morton']",15
2025-09-14_lyon,"['Abner', 'Adam Karabec', 'Ainsley Maitland-Niles', 'Clinton Mata', 'Corentin Tolisso', 'Khalis Merah', 'Malick Fofana', 'Moussa Niakhate', 'Pavel Šulc', 'Rachid Ghezzal', 'Ruben Kluivert', 'Rémy Descamps', 'Tanner Tessmann', 'Tyler Morton']",14
2025-09-19_lyon,"['Adam Karabec', 'Afonso Moreira', 'Ainsley Maitland-Niles', 'Clinton Mata', 'Corentin Tolisso', 'Dominik Greif', 'Enzo Molebe', 'Khalis Merah', 'Malick Fofana', 'Martin Satriano', 'Mathys De Carvalho', 'Moussa Niakhate', 'Nicolás Tagliafico', 'Pavel Šulc', 'Rachid Ghezzal', 'Tanner Tessmann']",16
2025-09-28_lyon,"['Adam Karabec', 'Afonso Moreira', 'Ainsley Maitland-Niles', 'Clinton Mata', 'Corentin Tolisso', 'Dominik Greif', 'Khalis Merah', 'Malick Fofana', 'Mathys De Carvalho', 'Moussa Niakhate', 'Nicolás Tagliafico', 'Pavel Šulc', 'Tanner Tessmann', 'Tyler Morton']",14
2025-10-05_lyon,"['Adam Karabec', 'Afonso Moreira', 'Ainsley Maitland-Niles', 'Clinton Mata', 'Corentin Tolisso', 'Dominik Greif', 'Malick Fofana', 'Martin Satriano', 'Moussa Niakhate', 'Nicolás Tagliafico', 'Pavel Šulc', 'Tanner Tessmann', 'Tyler Morton']",13
2025-10-18_lyon,"['Abner', 'Adam Karabec', 'Afonso Moreira', 'Ainsley Maitland-Niles', 'Clinton Mata', 'Corentin Tolisso', 'Dominik Greif', 'Malick Fofana', 'Martin Satriano', 'Moussa Niakhate', 'Nicolás Tagliafico', 'Pavel Šulc', 'Rachid Ghezzal', 'Ruben Kluivert', 'Tanner Tessmann', 'Tyler Morton']",16
2025-10-26_lyon,"['Adam Karabec', 'Afonso Moreira', 'Ainsley Maitland-Niles', 'Clinton Mata', 'Corentin Tolisso', 'Dominik Greif', 'Malick Fofana', 'Martin Satriano', 'Mathys De Carvalho', 'Moussa Niakhate', 'Nicolás Tagliafico', 'Pavel Šulc', 'Rachid Ghezzal', 'Tanner Tessmann', 'Tyler Morton']",15
2025-10-29_lyon,"['Abner', 'Adam Karabec', 'Afonso Moreira', 'Ainsley Maitland-Niles', 'Clinton Mata', 'Corentin Tolisso', 'Dominik Greif', 'Hans Hateboer', 'Martin Satriano', 'Mathys De Carvalho', 'Moussa Niakhate', 'Nicolás Tagliafico', 'Pavel Šulc', 'Tanner Tessmann', 'Tyler Morton']",15
2025-11-02_lyon,"['Afonso Moreira', 'Ainsley Maitland-Niles', 'Clinton Mata', 'Corentin Tolisso', 'Dominik Greif', 'Hans Hateboer', 'Martin Satriano', 'Mathys De Carvalho', 'Moussa Niakhate', 'Nicolás Tagliafico', 'Pavel Šulc', 'Rachid Ghezzal', 'Tanner Tessmann', 'Tyler Morton']",14
2025-11-09_lyon,"['Adam Karabec', 'Afonso Moreira', 'Ainsley Maitland-Niles', 'Clinton Mata', 'Corentin Tolisso', 'Dominik Greif', 'Khalis Merah', 'Moussa Niakhate', 'Nicolás Tagliafico', 'Rachid Ghezzal', 'Ruben Kluivert', 'Tanner Tessmann', 'Tyler Morton']",13
