date,opponent,venue,result,points,match_rating,score_final
2025-09-19,Lyon,Away,L,0,29.0,17.4
2025-11-23,Lyon,Home,D,1,57.0,47.53
2025-11-02,Lyon,Home,D,1,61.5,50.23
2025-12-14,Lyon,Away,L,0,27.5,16.5
2025-08-16,Lyon,Home,L,0,30.0,18.0
2025-09-28,Lyon,Home,L,0,35.0,21.0
2025-12-07,Lyon,Home,W,3,85.5,91.3
2025-08-16,Lens,Away,W,3,78.0,86.8
2025-08-23,Metz,Home,W,3,96.0,97.6
2025-08-31,Marseille,Home,W,3,82.5,89.5
2025-09-14,Rennes,Away,L,0,26.0,15.6
2025-09-19,Angers,Home,W,3,79.0,87.4
2025-09-28,Lille,Away,W,3,73.0,83.8
2025-10-05,Toulouse,Home,L,0,30.0,18.0
2025-10-18,Nice,Away,L,0,46.0,27.6
2025-10-26,Strasbourg,Home,W,3,81.0,88.6
2025-10-29,Paris FC,Away,D,1,61.5,50.23
2025-11-02,Brest,Away,D,1,51.5,44.23
2025-11-09,Paris Saint-Germain,Home,L,0,26.5,15.9
2025-11-23,Auxerre,Away,D,1,56.0,46.93
2025-11-30,Nantes,Home,W,3,91.5,94.9
2025-12-07,Lorient,Away,L,0,22.5,13.5
2025-12-14,Le Havre,Home,W,3,80.5,88.3
2026-01-03,Monaco,Away,W,3,87.5,92.5
2025-08-31,Lyon,Away,L,0,25.5,15.3
2025-08-23,Lyon,Away,L,0,12.0,7.2
2026-01-03,Lyon,Home,L,0,20.5,12.3
2025-11-30,Lyon,Away,L,0,16.5,9.9
2025-10-18,Lyon,Home,W,3,62.0,77.2
2025-10-29,Lyon,Home,D,1,51.5,44.23
2025-11-09,Lyon,Away,W,3,81.5,88.9
2025-09-14,Lyon,Home,W,3,82.0,89.2
2025-10-26,Lyon,Away,L,0,27.0,16.2
2025-10-05,Lyon,Away,W,3,78.0,86.8
