opponent,venue,proba_win,proba_draw,proba_loss,score_raw,injury_penalty,ppm_diff,h2h_bonus,rivalry_penalty,ol_gf,ol_ga,opp_gf,opp_ga,ol_ppm,opp_ppm,engine_explanation
Lens,Home,18.1,18.1,63.7,-0.31,2.63,0.14,0.0,0.0,1.75,0.75,1.67,1.0,2.25,2.11,Absences importantes dans l’effectif (facteur dominant). Match à domicile au Groupama Stadium. Classement global ou contextuel plutôt favorable à l’adversaire. Adversaire performant contre les équipes fortes. Les absences sont pondérées comme facteur principal dans ce contexte.
Lens,Away,13.9,13.9,72.2,-0.41,2.63,-1.29,0.0,0.0,1.22,1.22,2.0,0.5,1.33,2.62,Absences importantes dans l’effectif (facteur dominant). Forme récente défavorable par rapport à l’adversaire. Match à l’extérieur. Classement global ou contextuel plutôt favorable à l’adversaire. Adversaire performant contre les équipes fortes. Les absences sont pondérées comme facteur principal dans ce contexte.
Paris Saint Germain,Home,19.4,19.4,61.3,-0.29,2.63,0.36,0.0,0.0,1.75,0.75,2.0,1.22,2.25,1.89,Absences importantes dans l’effectif (facteur dominant). Match à domicile au Groupama Stadium. Classement global ou contextuel plutôt favorable à l’adversaire. Adversaire performant contre les équipes fortes. Les absences sont pondérées comme facteur principal dans ce contexte.
Paris Saint Germain,Away,14.5,14.5,71.0,-0.4,2.63,-1.42,0.0,0.0,1.22,1.22,2.38,0.5,1.33,2.75,Absences importantes dans l’effectif (facteur dominant). Forme récente défavorable par rapport à l’adversaire. Match à l’extérieur. Classement global ou contextuel plutôt favorable à l’adversaire. Adversaire performant contre les équipes fortes. Les absences sont pondérées comme facteur principal dans ce contexte.
Marseille,Home,21.9,21.9,56.3,-0.24,2.63,0.75,0.0,0.0,1.75,0.75,1.5,0.88,2.25,1.5,Absences importantes dans l’effectif (facteur dominant). Match à domicile au Groupama Stadium. Les absences sont pondérées comme facteur principal dans ce contexte.
Marseille,Away,16.9,16.9,66.2,-0.34,2.63,-0.89,0.0,0.0,1.22,1.22,2.67,1.11,1.33,2.22,Absences importantes dans l’effectif (facteur dominant). Match à l’extérieur. Les absences sont pondérées comme facteur principal dans ce contexte.
Lille,Home,22.4,22.4,55.2,-0.23,2.63,0.63,0.0,0.0,1.75,0.75,2.12,1.75,2.25,1.62,Absences importantes dans l’effectif (facteur dominant). Match à domicile au Groupama Stadium. Les absences sont pondérées comme facteur principal dans ce contexte.
Lille,Away,17.8,17.8,64.5,-0.32,2.63,-0.78,0.0,0.0,1.22,1.22,1.78,0.89,1.33,2.11,Absences importantes dans l’effectif (facteur dominant). Match à l’extérieur. Les absences sont pondérées comme facteur principal dans ce contexte.
Rennes,Home,24.5,24.5,50.9,-0.18,2.63,0.81,0.0,0.0,1.75,0.75,1.22,1.78,2.25,1.44,Absences importantes dans l’effectif (facteur dominant). Match à domicile au Groupama Stadium. Les absences sont pondérées comme facteur principal dans ce contexte.
Rennes,Away,19.5,19.5,61.1,-0.29,2.63,-0.79,0.0,0.0,1.22,1.22,2.25,1.0,1.33,2.12,Absences importantes dans l’effectif (facteur dominant). Match à l’extérieur. Les absences sont pondérées comme facteur principal dans ce contexte.
