player_id,name,pos,minutes_played,impact_score,impact_category
Pavel Šulc,Pavel Šulc,"FW,MF",887.0,58.3,titulaire
Afonso Moreira,Afonso Moreira,FW,655.0,42.6,rotation
Malick Fofana,Malick Fofana,FW,721.0,42.3,rotation
Corentin Tolisso,Corentin Tolisso,MF,1396.0,62.2,titulaire
Ainsley Maitland-Niles,Ainsley Maitland-Niles,"DF,FW",1306.0,51.3,titulaire
Martin Satriano,Martin Satriano,FW,692.0,18.9,faible_impact
Adam Karabec,Adam Karabec,FW,768.0,22.9,faible_impact
Abner,Abner,DF,890.0,37.0,rotation
Nicolás Tagliafico,Nicolás Tagliafico,DF,889.0,32.4,rotation
Tyler Morton,Tyler Morton,MF,1314.0,45.7,rotation
Tanner Tessmann,Tanner Tessmann,"MF,DF",1063.0,35.9,rotation
Moussa Niakhate,Moussa Niakhate,DF,1364.0,42.4,rotation
Khalis Merah,Khalis Merah,"MF,FW",582.0,14.8,faible_impact
Dominik Greif,Dominik Greif,GK,1170.0,21.3,faible_impact
Clinton Mata,Clinton Mata,DF,1393.0,27.2,faible_impact
Rémy Descamps,Rémy Descamps,GK,360.0,0.0,faible_impact
