player,points_per_match_with,points_per_match_without,impact_ppm
Ainsley Maitland-Niles,1.12,0.0,1.12
Clinton Mata,1.12,0.0,1.12
Moussa Niakhate,1.12,0.0,1.12
Rachid Ghezzal,1.43,0.8,0.63
Tyler Morton,1.13,0.5,0.63
Corentin Tolisso,1.06,0.53,0.53
Dominik Greif,1.15,0.75,0.4
Ruben Kluivert,1.29,0.9,0.39
Martin Satriano,1.09,1.0,0.09
Nicolás Tagliafico,1.08,1.0,0.08
Adil Hamdani,1.0,1.06,-0.06
Hans Hateboer,1.0,1.08,-0.08
Malick Fofana,1.0,1.12,-0.12
Abner,1.0,1.17,-0.17
Rémy Descamps,0.75,1.15,-0.4
Afonso Moreira,1.0,1.5,-0.5
Tanner Tessmann,1.0,1.5,-0.5
Mathys De Carvalho,0.67,1.5,-0.83
Adam Karabec,0.93,2.0,-1.07
Enzo Molebe,0.0,1.12,-1.12
Sael Kumbedi,0.0,1.12,-1.12
Georges Mikautadze,0.0,1.2,-1.2
Khalis Merah,0.64,1.83,-1.2
Orel Mangala,0.0,1.2,-1.2
Pavel Šulc,0.94,3.0,-2.06
