season,game,game_id,team,player,pos,age,minutes_played,goals,assists,xg,xag,pos_fr
2025-2026,Saison 2025-2026 (Understat),understat_2025,Lyon,Pavel Sulc,FW,,889.0,7.0,2.0,5.24981440231204,1.9654618054628372,BU
2025-2026,Saison 2025-2026 (Understat),understat_2025,Lyon,Corentin Tolisso,FW,,1407.0,3.0,0.0,5.98752199113369,2.3863662453368306,BU
2025-2026,Saison 2025-2026 (Understat),understat_2025,Lyon,Martín Satriano,FW,,696.0,2.0,1.0,2.151202028617263,1.252128679305315,BU
2025-2026,Saison 2025-2026 (Understat),understat_2025,Lyon,Abner,DF,,921.0,2.0,0.0,1.4774319380521774,0.5341184679418802,DC
2025-2026,Saison 2025-2026 (Understat),understat_2025,Lyon,Malick Fofana,MF,,750.0,2.0,1.0,2.6917807161808014,2.1723336465656757,MC
2025-2026,Saison 2025-2026 (Understat),understat_2025,Lyon,Afonso Moreira,FW,,620.0,2.0,4.0,0.999786976724863,3.242273942567408,BU
2025-2026,Saison 2025-2026 (Understat),understat_2025,Lyon,Ainsley Maitland-Niles,DF,,1302.0,1.0,3.0,1.7068460211157799,2.2663600258529186,DC
2025-2026,Saison 2025-2026 (Understat),understat_2025,Lyon,Georges Mikautadze,FW,,180.0,1.0,0.0,1.2365504503250122,0.0,BU
2025-2026,Saison 2025-2026 (Understat),understat_2025,Lyon,Tanner Tessmann,DF,,1047.0,1.0,0.0,1.3715280406177044,1.2106384467333555,DC
2025-2026,Saison 2025-2026 (Understat),understat_2025,Lyon,Tyler Morton,MF,,1326.0,1.0,1.0,1.460665363818407,1.4686832875013351,MC
2025-2026,Saison 2025-2026 (Understat),understat_2025,Lyon,Adam Karabec,MF,,774.0,1.0,0.0,1.5106305330991745,1.1835092436522245,MC
2025-2026,Saison 2025-2026 (Understat),understat_2025,Lyon,Rachid Ghezzal,FW,,129.0,0.0,0.0,0.10702870972454548,0.021294433623552322,BU
2025-2026,Saison 2025-2026 (Understat),understat_2025,Lyon,Remy Descamps,GK,,360.0,0.0,0.0,0.0,0.0,G
2025-2026,Saison 2025-2026 (Understat),understat_2025,Lyon,Moussa Niakhate,DF,,1359.0,0.0,2.0,0.09624716266989708,0.503794714808464,DC
2025-2026,Saison 2025-2026 (Understat),understat_2025,Lyon,Orel Mangala,FW,,3.0,0.0,0.0,0.0,0.03177382051944733,BU
2025-2026,Saison 2025-2026 (Understat),understat_2025,Lyon,Dominik Greif,GK,,1170.0,0.0,1.0,0.0,0.07231374084949493,G
2025-2026,Saison 2025-2026 (Understat),understat_2025,Lyon,Nicolás Tagliafico,DF,,872.0,0.0,3.0,1.5470102652907372,1.8797164652496576,DC
2025-2026,Saison 2025-2026 (Understat),understat_2025,Lyon,Sael Kumbedi,DF,,69.0,0.0,0.0,0.03166545554995537,0.0,DC
2025-2026,Saison 2025-2026 (Understat),understat_2025,Lyon,Clinton Mata,DF,,1405.0,0.0,0.0,0.12493745237588882,0.07112278044223785,DC
2025-2026,Saison 2025-2026 (Understat),understat_2025,Lyon,Enzo Molébé,FW,,7.0,0.0,0.0,0.0,0.0,BU
2025-2026,Saison 2025-2026 (Understat),understat_2025,Lyon,Khalis Merah,FW,,617.0,0.0,0.0,0.6324852705001831,0.673833005130291,BU
2025-2026,Saison 2025-2026 (Understat),understat_2025,Lyon,Mathys de Carvalho,MF,,265.0,0.0,0.0,0.3661429677158594,0.035325370728969574,MC
2025-2026,Saison 2025-2026 (Understat),understat_2025,Lyon,Ruben Kluivert,DF,,276.0,0.0,1.0,0.0,0.2979506552219391,DC
2025-2026,Saison 2025-2026 (Understat),understat_2025,Lyon,Adil Hamdani,FW,,3.0,0.0,0.0,0.027865704149007797,0.0,BU
