league,season,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,gls_n,ast_n,xg_n,xag_n,prgc_n,prgp_n,prgr_n,disc_n,rating
FRA-Ligue 1,2526,Pavel Šulc,CZE,"FW,MF",25-018,2000,16,9,887,9.9,8,2,10,8,0,0,2,0,5.6,5.6,2.0,7.5,23,25,48,0.81,0.2,1.01,0.81,1.01,0.57,0.2,0.76,0.57,0.76,1.0,0.36363636363636365,1.0,0.4545454545454546,0.6571428571428571,0.26881720430107525,0.48484848484848486,0.5,66.6
FRA-Ligue 1,2526,Afonso Moreira,POR,FW,20-303,2005,15,6,655,7.3,2,4,6,2,0,0,2,0,1.0,1.0,3.2,4.1,30,16,99,0.27,0.55,0.82,0.27,0.82,0.13,0.44,0.57,0.13,0.57,0.3333333333333333,1.0,0.2280701754385965,1.0,0.8571428571428571,0.17204301075268819,1.0,0.5,59.5
FRA-Ligue 1,2526,Malick Fofana,BEL,FW,20-291,2005,9,9,721,8.0,2,1,3,2,0,0,1,0,2.7,2.7,1.9,4.7,35,14,95,0.25,0.12,0.37,0.25,0.37,0.34,0.24,0.58,0.34,0.58,0.30864197530864196,0.21818181818181814,0.5964912280701755,0.5454545454545454,1.0,0.15053763440860216,0.9595959595959596,0.75,50.2
FRA-Ligue 1,2526,Corentin Tolisso,FRA,MF,31-166,1994,17,16,1396,15.5,3,0,3,3,0,1,4,0,6.3,5.6,2.4,7.9,18,93,75,0.19,0.0,0.19,0.19,0.19,0.41,0.15,0.56,0.36,0.51,0.2345679012345679,0.0,0.7192982456140351,0.3409090909090909,0.5142857142857142,1.0,0.7575757575757576,0.0,42.8
FRA-Ligue 1,2526,Ainsley Maitland-Niles,ENG,"DF,FW",28-140,1997,16,14,1306,14.5,1,3,4,1,0,1,3,1,1.7,0.9,2.1,3.0,21,48,60,0.07,0.21,0.28,0.07,0.28,0.11,0.15,0.26,0.06,0.21,0.08641975308641976,0.3818181818181818,0.1929824561403509,0.3409090909090909,0.6,0.5161290322580645,0.6060606060606061,0.0,31.4
FRA-Ligue 1,2526,Martin Satriano,URU,FW,24-330,2001,11,8,692,7.7,2,1,3,2,0,0,1,0,1.8,1.8,1.1,2.8,7,14,32,0.26,0.13,0.39,0.26,0.39,0.23,0.14,0.37,0.23,0.37,0.32098765432098764,0.23636363636363636,0.4035087719298246,0.31818181818181823,0.2,0.15053763440860216,0.32323232323232326,0.75,31.3
FRA-Ligue 1,2526,Adam Karabec,CZE,FW,22-198,2003,15,9,768,8.5,1,0,1,1,0,0,2,0,1.6,1.6,1.1,2.7,20,26,64,0.12,0.0,0.12,0.12,0.12,0.19,0.13,0.32,0.19,0.32,0.14814814814814814,0.0,0.33333333333333337,0.29545454545454547,0.5714285714285714,0.27956989247311825,0.6464646464646465,0.5,29.1
FRA-Ligue 1,2526,Abner,BRA,DF,25-234,2000,11,11,890,9.9,2,0,2,2,0,0,2,1,1.0,1.0,0.4,1.4,18,53,41,0.2,0.0,0.2,0.2,0.2,0.1,0.04,0.14,0.1,0.14,0.24691358024691357,0.0,0.1754385964912281,0.09090909090909091,0.5142857142857142,0.5698924731182796,0.41414141414141414,0.25,25.9
FRA-Ligue 1,2526,Nicolás Tagliafico,ARG,DF,33-138,1992,13,9,889,9.9,0,3,3,0,0,0,3,1,1.2,1.2,1.4,2.6,15,40,23,0.0,0.3,0.3,0.0,0.3,0.12,0.14,0.26,0.12,0.26,0.0,0.5454545454545454,0.2105263157894737,0.31818181818181823,0.42857142857142855,0.43010752688172044,0.23232323232323232,0.0,25.4
FRA-Ligue 1,2526,Tyler Morton,ENG,MF,23-077,2002,15,15,1314,14.6,1,1,2,1,0,0,3,1,1.0,1.0,1.4,2.5,28,67,11,0.07,0.07,0.14,0.07,0.14,0.07,0.1,0.17,0.07,0.17,0.08641975308641976,0.1272727272727273,0.12280701754385967,0.2272727272727273,0.8,0.7204301075268817,0.1111111111111111,0.0,24.5
FRA-Ligue 1,2526,Tanner Tessmann,USA,"MF,DF",24-114,2001,15,12,1063,11.8,1,0,1,1,0,0,0,0,1.0,1.0,1.5,2.5,8,61,18,0.08,0.0,0.08,0.08,0.08,0.08,0.13,0.21,0.08,0.21,0.09876543209876543,0.0,0.14035087719298248,0.29545454545454547,0.22857142857142856,0.6559139784946236,0.18181818181818182,1.0,23.2
