league,season,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
FRA-Ligue 1,2526,Abner,BRA,DF,25-234,2000,11,11,890,9.9,2,0,2,2,0,0,2,1,1.0,1.0,0.4,1.4,18,53,41,0.2,0.0,0.2,0.2,0.2,0.1,0.04,0.14,0.1,0.14
FRA-Ligue 1,2526,Adam Karabec,CZE,FW,22-198,2003,15,9,768,8.5,1,0,1,1,0,0,2,0,1.6,1.6,1.1,2.7,20,26,64,0.12,0.0,0.12,0.12,0.12,0.19,0.13,0.32,0.19,0.32
FRA-Ligue 1,2526,Adil Hamdani,FRA,FW,16-360,2009,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.22,0.22,0.22
FRA-Ligue 1,2526,Afonso Moreira,POR,FW,20-303,2005,15,6,655,7.3,2,4,6,2,0,0,2,0,1.0,1.0,3.2,4.1,30,16,99,0.27,0.55,0.82,0.27,0.82,0.13,0.44,0.57,0.13,0.57
FRA-Ligue 1,2526,Ainsley Maitland-Niles,ENG,"DF,FW",28-140,1997,16,14,1306,14.5,1,3,4,1,0,1,3,1,1.7,0.9,2.1,3.0,21,48,60,0.07,0.21,0.28,0.07,0.28,0.11,0.15,0.26,0.06,0.21
FRA-Ligue 1,2526,Clinton Mata,ANG,DF,33-070,1992,16,16,1393,15.5,0,0,0,0,0,0,4,0,0.1,0.1,0.1,0.2,8,42,3,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
FRA-Ligue 1,2526,Corentin Tolisso,FRA,MF,31-166,1994,17,16,1396,15.5,3,0,3,3,0,1,4,0,6.3,5.6,2.4,7.9,18,93,75,0.19,0.0,0.19,0.19,0.19,0.41,0.15,0.56,0.36,0.51
FRA-Ligue 1,2526,Dominik Greif,SVK,GK,28-285,1997,13,13,1170,13.0,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,0,0.0,0.08,0.08,0.0,0.08,0.0,0.01,0.01,0.0,0.01
FRA-Ligue 1,2526,Enzo Molebe,FRA,FW,18-120,2007,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2526,Georges Mikautadze,GEO,FW,25-077,2000,2,2,179,2.0,1,0,1,1,0,0,0,0,1.1,1.1,0.0,1.1,7,3,8,0.5,0.0,0.5,0.5,0.5,0.53,0.0,0.53,0.53,0.53
